"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 16 22:08:00 GMT 2024","Fri Feb 16 22:08:08 GMT 2024","7631","tests","test_student_registration_form","","","","test_login_with_student_registration_form",""
"broken","Fri Feb 16 22:07:08 GMT 2024","Fri Feb 16 22:07:17 GMT 2024","8452","tests","test_buttons","","","","test_double_click_btn",""
"broken","Fri Feb 16 22:07:26 GMT 2024","Fri Feb 16 22:07:34 GMT 2024","8350","tests","test_buttons","","","","test_right_click_btn",""
"broken","Fri Feb 16 22:08:43 GMT 2024","Fri Feb 16 22:08:50 GMT 2024","7686","tests","test_text_box","","","","test_login_with_text_box",""
"passed","Fri Feb 16 22:08:29 GMT 2024","Fri Feb 16 22:08:33 GMT 2024","3448","tests","test_text_box","","","","test_placeholders",""
"passed","Fri Feb 16 22:08:17 GMT 2024","Fri Feb 16 22:08:20 GMT 2024","2826","tests","test_student_registration_form","","","","test_first_name_have_placeholder",""
"failed","Fri Feb 16 22:08:22 GMT 2024","Fri Feb 16 22:08:22 GMT 2024","0","tests","test_student_registration_form","","","","test_fail",""
"passed","Fri Feb 16 22:08:22 GMT 2024","Fri Feb 16 22:08:22 GMT 2024","0","tests","test_student_registration_form","","","","test_pass",""
"broken","Fri Feb 16 22:07:43 GMT 2024","Fri Feb 16 22:07:51 GMT 2024","7684","tests","test_buttons","","","","test_dynamic_click_btn",""
