"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 21:57:26 GMT 2024","Fri Feb 16 21:57:29 GMT 2024","3043","tests","test_student_registration_form","","","","test_first_name_have_placeholder",""
"broken","Fri Feb 16 21:56:32 GMT 2024","Fri Feb 16 21:56:40 GMT 2024","8370","tests","test_buttons","","","","test_right_click_btn",""
"passed","Fri Feb 16 21:57:39 GMT 2024","Fri Feb 16 21:57:43 GMT 2024","3811","tests","test_text_box","","","","test_placeholders",""
"broken","Fri Feb 16 21:57:53 GMT 2024","Fri Feb 16 21:58:00 GMT 2024","7401","tests","test_text_box","","","","test_login_with_text_box",""
"broken","Fri Feb 16 21:56:50 GMT 2024","Fri Feb 16 21:56:58 GMT 2024","8148","tests","test_buttons","","","","test_dynamic_click_btn",""
"broken","Fri Feb 16 21:57:08 GMT 2024","Fri Feb 16 21:57:16 GMT 2024","7559","tests","test_student_registration_form","","","","test_login_with_student_registration_form",""
"passed","Fri Feb 16 21:57:30 GMT 2024","Fri Feb 16 21:57:30 GMT 2024","0","tests","test_student_registration_form","","","","test_pass",""
"failed","Fri Feb 16 21:57:30 GMT 2024","Fri Feb 16 21:57:30 GMT 2024","1","tests","test_student_registration_form","","","","test_fail",""
"broken","Fri Feb 16 21:56:14 GMT 2024","Fri Feb 16 21:56:22 GMT 2024","8385","tests","test_buttons","","","","test_double_click_btn",""
